f_of_S,Queries,Time,dual,k,n,trial,dual_history
60.22101626694051,40014,2.687413,63.7966252391464,25,769,1,"[87.00000000000006, 76.10703417094172, 74.10134358019432, 71.8504349080113, 69.1881524243172, 69.0411154600582, 66.78846461005482, 66.74464719072415, 66.3085192229529, 66.15721837863846, 66.13365889422064, 65.71956931415228, 65.52769279237138, 65.2681187488871, 64.57445621396775, 64.47323855771324, 64.41323370741715, 64.35166913394899, 64.29972064613959, 64.07058819740539, 64.00928567984602, 63.966887705077106, 63.9499254480408, 63.86629302876676, 63.81276843075949, 63.7966252391464]"
104.17663459382302,78489,6.19574,115.55931133913505,50,769,1,"[174.0000000000001, 151.76019476567265, 147.57521436373548, 142.76783152945083, 136.93999192236865, 136.60965080132473, 131.40704402932326, 131.30280541429516, 130.23221517014008, 129.8477908966012, 129.78567496482825, 128.64910442488943, 128.09901780831493, 127.31901366414345, 125.12155187384842, 124.78153604509878, 124.56691326565159, 124.33044639974537, 124.11400644749608, 123.0627811033308, 122.74715487104153, 122.49811294123835, 122.38032958038245, 121.66344296825567, 121.06313148401642, 120.78967555518356, 120.76768597967536, 119.26377795339843, 118.1627373470627, 118.14917855486011, 117.66524556306342, 117.5679010033278, 117.50343741720926, 117.3932341741615, 117.36105180656624, 117.26281378599992, 117.12294112455784, 116.90303533686694, 116.76096446833645, 116.70739995199484, 116.42704645709719, 116.22555039198805, 115.97883122787772, 115.96589539323452, 115.73217409388734, 115.71908732718123, 115.70139063165043, 115.65784682360082, 115.59463433122882, 115.58648631831323, 115.55931133913505]"
174.2130754068812,155439,17.137141,204.10902867476574,100,769,1,"[348.0000000000002, 303.06651595513455, 294.5229559308178, 284.60262477232993, 272.4436709184716, 271.74672148385775, 260.64420286786014, 260.41912186143713, 258.0796070645145, 257.22893593252667, 257.0897071060435, 254.50817464636376, 253.24166784020204, 251.42080349465616, 246.21574319360977, 245.39813101986982, 244.8742723821205, 244.28800093133813, 243.74257805020906, 241.04716691518166, 240.22289325343257, 239.56056341356083, 239.24113784506577, 237.2577428472335, 235.56385759053026, 234.7757761872579, 234.7110290580009, 230.18268858032278, 226.7878019442139, 226.7449852870193, 225.178355452989, 224.8547348597049, 224.6346263911874, 224.2469000035055, 224.1301515021531, 223.76166244991583, 223.21774758732113, 222.3306629362046, 221.73545034006602, 221.50106332394427, 220.21878329686098, 219.25020303102352, 218.0053705503769, 217.93638542757125, 216.60444073523945, 216.52475001884613, 216.40871204194573, 216.09866423195447, 215.60521036512657, 215.53449421128337, 215.26927187627814, 214.16422895621218, 214.1348843112283, 214.11395156388554, 213.54309653518192, 213.26525898084998, 212.95388635880704, 212.93846945277477, 212.71878847390718, 212.5332071901064, 212.24726725147568, 211.63398291854242, 211.44184769733607, 211.33785426399217, 210.89819677462467, 210.50183254850674, 210.27126561806858, 210.0722769197548, 209.94264066247928, 209.49244138590487, 209.36123810068085, 209.2548592105459, 209.24724409089555, 209.075517649371, 208.7632923869385, 208.49515993728613, 208.0054063972102, 207.86916361974164, 207.8107041411226, 207.35777349892217, 206.7833803060183, 206.71683104166877, 206.6421930102864, 206.52167433466502, 206.23762930521673, 206.21032343846235, 206.11679438320755, 206.0564025645018, 205.80695954093187, 205.77739742403102, 205.2695897713904, 204.90816646306823, 204.78927634328085, 204.78571095115223, 204.64026607116642, 204.37944287049717, 204.34426384344192, 204.22629221840364, 204.2123984107306, 204.17618677815375, 204.10902867476574]"
230.1898735658891,232389,30.671378,298.88104693729366,150,769,1,"[522.0000000000003, 453.52500000000043, 443.65972857500117, 428.4270657171316, 407.21456651000017, 405.3088926105, 390.6345845119717, 389.2958537378924, 388.12162628944384, 386.9123427646869, 385.4638896882086, 383.5913337053018, 379.2906277018618, 379.2906277018618, 377.17534476937607, 375.79415963092345, 375.79415963092345, 370.47119417000295, 370.4422339235575, 367.3989001683111, 366.83241722679, 363.0523549445853, 360.6237358173502, 358.33468137113846, 352.6178974889227, 351.4752132682701, 350.31832259362454, 350.2885936550084, 350.05701058953446, 349.9368665268087, 346.8417567272843, 346.24804189376795, 343.8288929042348, 343.2927427253481, 340.69795469419523, 340.10699158696684, 339.8869517334954, 339.4788276451508, 338.64987878337723, 336.6903259008005, 336.58929662334936, 336.454147950008, 336.1949770267663, 336.0572052357246, 335.0985626586032, 334.45338877196383, 334.1287418691688, 333.12704941327, 332.04423733652925, 331.8357757653778, 331.72562319573717, 331.6815769890567, 331.3054887614899, 331.01279449549656, 330.8601056425582, 330.48970543463383, 330.13828980658593, 329.6581677945368, 329.0721517486507, 328.4641758550258, 328.28080612854205, 327.06224804457196, 326.8068161249516, 325.99908985701245, 325.5200524746175, 325.35345845027723, 325.04803715054845, 324.8489214616741, 323.9550033637062, 322.76654791066966, 321.7912866221561, 319.10270768488544, 318.5443730336324, 317.33854106984404, 316.76409071888145, 316.699050981631, 315.60994708072036, 315.3446518228934, 314.5058668819384, 314.19059912778806, 313.80887859108043, 313.71291807752, 312.9618989592141, 312.2206500319072, 311.9475205156517, 311.7699103117005, 311.5283519937136, 311.13651590621737, 310.9626711019953, 310.77557111744403, 310.4068507208465, 309.9153980231735, 308.9298132795914, 308.8879563778134, 308.8788457994381, 307.6900116449498, 307.2576767087653, 307.0670931649757, 306.85072753623183, 306.6814791792393, 306.4142794412254, 306.07661410109154, 305.4894128419955, 305.4660043278568, 305.3704001749029, 305.36493327652335, 304.98394351883667, 304.70239557839443, 304.567861671248, 304.53325833956467, 303.9942879806132, 303.86828603053823, 303.8126096170553, 303.4574925732032, 303.43700720901967, 303.20943272216164, 302.9575486431036, 302.7625660474456, 302.66758521348464, 302.3767096083662, 302.2956470537756, 302.2588910455867, 302.20254777927556, 302.1998873294472, 302.11665188404925, 301.86994675576886, 301.8288303723345, 301.75448203380233, 301.723092675007, 301.645932558868, 301.241595892926, 301.1805288364289, 301.09541926486014, 300.6979912292423, 300.6825225732945, 300.6728491562967, 300.56575859529624, 300.43008647564704, 300.24361775570856, 300.16808436359497, 300.1293561638182, 299.8309777941013, 299.5939961938218, 299.42543928066755, 299.3413145042601, 299.26343202514863, 299.0813634907397, 298.94876430202083, 298.9075788087067, 298.8926878320158, 298.88104693729366]"
278.56910252022163,309339,47.896969,373.1219424531929,200,769,1,"[696.0000000000005, 603.5400000000006, 590.364234808223, 569.066899, 538.8834860500002, 535.4647947204, 515.8662221592783, 513.022346062198, 510.0609377495808, 507.9214971218699, 504.8640071857665, 501.57126509190704, 495.80701326827096, 495.5514100118452, 490.2797846630399, 488.4615758933074, 488.4615758933074, 481.68084267407016, 477.24265346964694, 477.00710377601746, 477.00710377601746, 466.9589405027791, 466.6754464957033, 462.5640684258482, 453.66112124010345, 451.4243091039642, 447.34861032931116, 446.5251439972355, 444.72801563260975, 444.5675547703116, 440.42680354770414, 439.63114876991364, 436.073110525091, 436.073110525091, 432.4295598108627, 431.22554887571863, 430.89052864013627, 430.2018281382464, 429.4103341180065, 429.4103341180065, 429.3489231597171, 428.65435736605417, 428.62747196162786, 425.83457370676723, 425.22230564772667, 425.22230564772667, 425.01333144292477, 422.92230087964833, 422.7176110533072, 421.9243160619352, 421.65641618957653, 420.82432403586665, 420.7789731916678, 420.6854994345334, 420.49215772306115, 419.7555371489575, 419.7555371489575, 419.723692024945, 419.1253094448964, 418.3019022541714, 417.896015919438, 417.67622531503986, 414.7791892104144, 414.5561939058338, 414.0303015604118, 412.60195982470066, 411.5943319815025, 411.1694832287676, 408.2621425994711, 407.1330432803231, 406.99537903387136, 406.27368590733744, 404.4527329987158, 401.3176941795182, 400.8996417578379, 400.8217633096022, 400.7627483094961, 399.6124293343883, 398.4414397476195, 397.68167277384543, 397.17546164862875, 396.82828328164123, 396.72254377784657, 396.46323091266504, 395.60541276221284, 395.01381291461996, 394.95205414460406, 394.7355406065499, 393.98079342937376, 392.41095847043516, 392.28470386507973, 392.2187749311447, 391.0990623137711, 390.580393629844, 390.2641787368434, 389.76665722452174, 389.2310240321863, 388.1705647418212, 387.7480897165832, 387.74449481833756, 387.4936859228688, 387.49100799309815, 387.39967545638035, 387.3705393237657, 387.35721813977375, 387.34144995803115, 387.3092227719668, 387.30301615155867, 387.1791710609149, 387.15560954025335, 387.1547762164086, 387.14159302346405, 387.1351454116806, 387.13480866694795, 387.13480866694795, 386.8666752352885, 386.8371689825369, 386.7802473662689, 386.09618945845784, 385.89050026313066, 385.8394093270915, 385.7039537291988, 385.4507614337273, 384.84137315386204, 384.8027135463831, 384.7422901272179, 384.7035119713667, 384.67929430368974, 384.2456829686155, 384.0287585291733, 383.0438741747963, 382.71265458157666, 382.6266774734955, 382.5386687649145, 382.3252803240923, 382.2239905575177, 382.17620549913295, 381.871922191416, 381.31384681884066, 381.2044012190046, 381.1849680568466, 381.1738996439779, 380.88069202348316, 380.5664772710787, 380.56455313590385, 380.53031114414057, 380.4975838060362, 380.3289294574943, 380.07065583818087, 379.5029236706438, 379.41328215867037, 379.29025555437636, 379.18177157645994, 379.1608253802576, 379.0448520113264, 378.5558515060247, 378.51389677430797, 378.51303133231187, 378.30377578194765, 377.8901757209502, 377.876698923535, 377.55352723493445, 377.33923864501236, 377.27277258022553, 377.085373664715, 376.6993108632185, 376.65891628303876, 376.6310721410059, 376.44851962368443, 376.23618479546593, 376.22927300162263, 376.2154461369881, 376.207410714772, 376.03191042927193, 375.96136958431464, 375.9173850525434, 375.85296532437144, 375.6463297959017, 375.4920617092922, 375.3990000186677, 375.3722411378025, 375.1664606473389, 375.0495864078225, 375.01400922082524, 374.9266198327771, 374.77485083750673, 374.7680618632118, 374.7525894823223, 374.4470369739448, 374.3996070527986, 374.25744501760397, 374.0405495406709, 373.95877969221453, 373.82430601321784, 373.80085992279976, 373.7199573093203, 373.51849983125516, 373.46967344165404, 373.30171646042874, 373.223986147038, 373.1219424531929]"
327.3548025151657,386289,59.925243,452.5027787880824,250,769,1,"[870.0000000000006, 753.5550000000007, 737.0687410414448, 708.9812435, 670.5524055900003, 665.6206968303001, 641.0978598065849, 636.2918562103505, 631.9899064949016, 628.6898287616525, 624.2641246833244, 619.5511964785122, 612.32339883468, 610.8543537395142, 603.8435858671692, 601.1329499102819, 600.8461823598799, 591.2493188326755, 585.6960067125681, 585.2569568150634, 585.0773895324884, 572.0573469400481, 571.6577401467467, 564.146796314585, 552.5349951731107, 549.2198412203436, 543.6362400914454, 542.6058726709085, 539.3990206756849, 539.1982430138145, 534.0118503681239, 532.3932398327161, 529.5733451556401, 525.7536417788189, 523.7391652194297, 522.433373482584, 521.6882817800981, 519.3282649246084, 517.004763595994, 517.004763595994, 515.5269290873176, 515.5269290873176, 515.2656978589947, 513.1161899141994, 513.1161899141994, 512.5564162827094, 511.91005838684225, 511.91005838684225, 509.90471481047007, 508.84449427738645, 508.84449427738645, 508.7410339572584, 508.4203926591239, 508.4203926591239, 505.1612134546817, 504.94096698524754, 504.4769485904416, 503.0949109819028, 502.33611379997, 501.23389381399875, 500.7935889743398, 499.56242271397116, 499.56242271397116, 499.44825672452953, 499.3416745902208, 498.032599303452, 497.47400312030305, 497.43233619664494, 495.11253352788, 494.4743789306602, 493.1703201034665, 492.6282058749525, 491.2019347730493, 491.2019347730493, 490.8664062548054, 490.8664062548054, 490.78076565958634, 489.94233122946173, 489.69222305181916, 489.6136267442598, 487.77763165915854, 486.56346113513524, 486.362795263958, 486.362795263958, 485.59596298286334, 485.4962162399894, 485.0949213389466, 485.01088048659994, 484.7930385409269, 484.7453197630284, 484.7453197630284, 484.661234900276, 483.5138185338029, 481.1472533910931, 481.0047651822182, 480.3693944304847, 479.5981908145933, 479.27495442769043, 478.2160915683834, 477.4382325294912, 477.4382325294912, 476.18775630583934, 475.95302757558466, 475.3970671579168, 474.99950146573167, 473.68418855254424, 473.1442760648889, 472.61554680800464, 472.5417519873796, 472.4765451550835, 472.2471904689442, 472.2186150660284, 471.5677982456099, 471.0934101515224, 470.9449080193833, 470.7982752906774, 470.67562022341053, 470.410131748257, 469.72882687937926, 469.68638182752113, 469.57129932481337, 469.3679236279687, 469.3027713407673, 468.89745741546074, 468.7696846990514, 468.4721205556818, 468.418492739826, 468.2137163393391, 468.0591722716173, 467.35306824778723, 466.9851095767141, 466.7477304806174, 466.60204533482704, 466.0682285565082, 466.0506719228903, 465.8964536447407, 465.78828274816715, 465.2078220448793, 464.46942319321613, 464.2248573309558, 464.1321186839249, 463.96315092583177, 463.79564831000573, 463.57083562731674, 463.14947186217745, 462.81152470857296, 462.6883719665582, 462.5233486188396, 462.2419099476158, 462.0544857086735, 461.936554896087, 461.904104088631, 461.8592209270453, 461.85577586503695, 461.71077339348807, 461.6078234196706, 461.5263912211972, 461.40005568944696, 461.27978969711535, 461.22107521464176, 461.2159660156298, 461.1420535046093, 461.0603942492396, 461.00241941928897, 460.9871604972021, 460.9644681075441, 460.943738465849, 460.851351415718, 460.8446176229601, 460.7875989119236, 460.7324895208789, 460.71433935031314, 460.70389414060327, 460.66597928987665, 460.6449304481802, 460.6322923008613, 460.61562173828406, 460.59952114831043, 460.59835172971754, 460.59692620040585, 460.5944077683313, 460.5944077683313, 460.4542408156898, 460.3283804750062, 460.22897571269345, 460.07935401595796, 459.7033676388826, 459.5670735133827, 459.1268616368533, 459.1200275981022, 459.0889789950736, 458.8805270349028, 458.7786117512244, 458.74457956689184, 458.38952783137034, 458.2588495444548, 458.2241269993333, 458.10212449003444, 457.9784631035724, 457.9325429290114, 457.42383325219623, 457.24440204839226, 457.2270585437773, 457.2070688237699, 457.1994055626451, 457.0878993256372, 456.6557579601557, 456.57437591802545, 456.4683622781613, 456.3674230527822, 456.28614474830306, 456.00957918166796, 455.6761619901155, 455.6371504567454, 455.5896225913967, 455.5710119997294, 455.4571431471675, 455.1617162400551, 455.1603501788377, 455.13679999280623, 455.1304112690932, 455.0640177742292, 455.0324590553516, 454.77294015006527, 454.7414721025665, 454.7361169372606, 454.6969281972973, 454.69473801013623, 454.59955831018624, 454.394135968867, 454.1621002509523, 454.13986543174616, 454.13960778990105, 454.13540000785383, 454.1083518931174, 454.04060190443477, 454.0122169594934, 453.8931979218844, 453.7571242294916, 453.73426424209663, 453.69802917824836, 453.64864694105376, 453.4282388924331, 453.305577419495, 453.1731466273719, 453.03378961607507, 452.8704110396138, 452.85272942768734, 452.6594518446674, 452.6328241769527, 452.5027787880824]"
373.4168351545243,463239,95.660895,514.0885237269,300,769,1,"[1044.0000000000007, 903.5700000000008, 883.7732472746667, 848.8955880000001, 802.2213251300003, 795.7765989402, 766.3294974538916, 759.561366358503, 753.9188752402223, 749.4581604014351, 743.6642421808823, 737.5311278651175, 728.8397844010892, 726.1572974671832, 717.4073870712984, 713.8043239272567, 712.7817735888419, 700.8177949912808, 694.1493599554891, 693.5068098541092, 692.1079826758485, 676.4734736993842, 675.9933013881596, 665.7295242033217, 651.4088691061178, 647.015373336723, 639.9238698535796, 638.6866013445815, 634.0700257187602, 633.8289312573173, 627.5968971885437, 624.5745587476313, 620.8257316834988, 615.8314246360397, 613.3493302379777, 611.6298486385462, 610.6502159117688, 607.2297407067769, 603.8053999151281, 603.8053999151281, 601.6530656045795, 601.15640375358, 600.3198112152281, 598.0529747463409, 598.0529747463409, 595.2930951119152, 594.22540476929, 594.22540476929, 592.2396959914757, 590.3208426438784, 590.3208426438784, 589.9528741916783, 588.6942402972567, 588.3115319995954, 584.0344110283194, 583.6163024563213, 582.7790557666235, 581.1689733263572, 579.9344975140593, 577.7285136186845, 577.1954945676622, 575.5845327089545, 575.519244883213, 575.519244883213, 575.2520396893531, 573.4243776827088, 572.4083023616688, 572.0170704387419, 567.9854531685535, 567.9854531685535, 565.6705183613042, 565.6705183613042, 562.2061894704875, 562.2061894704875, 561.9346078030919, 561.9346078030919, 561.2982459513787, 561.2005780481453, 560.9886512458479, 560.865077419866, 556.7271521154654, 556.4307475536266, 556.3223185602496, 556.1601212289679, 555.5040641603925, 554.9229021547161, 554.1841461193567, 553.7982446548865, 553.7982446548865, 553.455024101862, 552.7790901461823, 552.1890556899086, 552.1890556899086, 548.9703540258504, 548.6644859110424, 546.9338319607125, 545.9116297988406, 545.8647516974665, 545.6399197772158, 544.6671095164766, 543.2456016401438, 542.5210948058102, 541.8261801737858, 541.3615296983419, 541.2046053302527, 541.1512045453682, 540.8010775975796, 540.2681284567773, 539.8766420864985, 539.5531669707166, 539.4927917900686, 539.4096200091777, 539.4085888630852, 539.166457187009, 539.0988028822976, 538.5109595614794, 538.3701026795015, 538.2119923777897, 538.0935857329249, 538.0646190152117, 538.0637154803811, 537.8452906119969, 537.8225507379318, 537.7543694306864, 537.730589867524, 537.7305898675239, 537.6935500335164, 537.4232661269107, 537.4054472438465, 537.2442816147624, 537.229766490283, 537.229766490283, 536.6891447379084, 536.5479803810249, 536.4427236243843, 536.4074612544418, 536.3051914882312, 535.6702945038764, 535.6029547009292, 535.6029547009292, 534.4513940326453, 534.4126983047485, 534.4126513065936, 534.4126513065936, 534.1915266849776, 534.1332874689309, 534.1272137549475, 533.7215083769485, 533.624091159233, 533.5278186348191, 533.3416974977991, 532.7873827773391, 532.2476598408346, 532.18484991072, 532.0495444096713, 531.7525639327124, 531.3853357203461, 530.588968208068, 530.3013164896621, 530.2755498130686, 529.9607187873526, 529.3748071003013, 529.2058494961914, 529.1806119805825, 529.0993411252111, 528.9252465669814, 528.7140539848889, 528.5715526529096, 528.2160743680877, 528.1155468609281, 527.8671784846634, 527.5315527289681, 527.332988973783, 527.1824109975593, 526.8860579713385, 526.8563848138934, 526.8377368566416, 526.4711555855713, 526.3832727843488, 526.3803322214249, 526.1983539500724, 525.7677347124538, 525.7574993904775, 525.6560459587597, 525.5311677712668, 525.5005458436233, 525.4133586563728, 525.1733502733384, 525.1462657220716, 525.1179260820891, 524.886287368375, 524.7041988814551, 524.6093803108656, 524.2513977704741, 523.7844701896175, 523.7830977966081, 523.6812186891982, 523.6109354963537, 523.4393907743705, 523.2877787780983, 523.1359860772848, 522.9310014013444, 522.6977543005385, 522.589765539939, 522.3925495418854, 522.3516992309799, 522.2859004975553, 521.8515638280475, 521.654732725737, 521.5003259428548, 521.0314708827632, 521.0270609974724, 520.925111218281, 520.9225704327503, 520.8524943723626, 520.7548103063948, 520.6431665576981, 520.5972259928496, 520.4599928065089, 520.4411804566631, 519.8762748462127, 519.7680838525239, 519.5563512325874, 519.5323909261577, 519.434546291642, 519.3935506151709, 519.3066634614939, 519.2425447431547, 519.0225985175512, 518.9507218510768, 518.8758275395016, 518.8094980753772, 518.6542805558329, 518.6325498305058, 518.4201483386712, 518.3712553905286, 518.3539697918412, 518.1087016731774, 518.0271748654368, 518.005774273724, 517.9878919198543, 517.9734962177849, 517.9463274270919, 517.8056620474495, 517.7903815212976, 517.7900130396367, 517.7096325190528, 517.5946535633524, 517.4284671471241, 517.405941655209, 517.2750413840877, 517.2647506616364, 517.0574441476093, 517.0184958886929, 516.9744644002494, 516.8815859566832, 516.8092930803659, 516.6702749807378, 516.4362107938662, 516.304529967434, 516.2574354630163, 516.1422383010781, 516.066633838704, 515.8445354982375, 515.8282026010289, 515.8260503055037, 515.823140904097, 515.7992740731178, 515.627388304482, 515.6130424602093, 515.5909296921282, 515.502322232518, 515.5003015356826, 515.4727142794546, 515.4391080405723, 515.2986126527371, 515.294271582796, 515.129894854441, 515.093477141955, 515.0738841244058, 515.0728607439526, 515.0628523223029, 514.9964172969381, 514.9875825132989, 514.9307816656482, 514.903720598779, 514.9012795515724, 514.8698987043265, 514.8401212200586, 514.8386537571723, 514.8259366337377, 514.6953113475023, 514.6897940865122, 514.5791191849473, 514.5767954819758, 514.5367586806441, 514.4108712117837, 514.3115728709944, 514.3020958115949, 514.133902032627, 514.0885237269]"
