BQS,topk,marginal,curvature,dualfit_min,dualfit_tau,dualfit_lp,k,n,trial
984.0,1031.0,1219.9999999999989,0.6321205588285577,1220.0,1241.2697920545331,1022.8996631299669,20,9877,1
1711.0,1863.0,2027.9999999999977,0.6321205588285577,2028.0,2021.0880584313709,1817.0838273051058,40,9877,1
2281.0,2623.0,2725.999999999995,0.6321205588285577,2726.0,2655.3677430394173,2484.4350665772554,60,9877,1
2743.0,3325.0,3264.000000000008,0.6321205588285577,3264.0,3211.589575390797,3013.7784339039194,80,9877,1
3156.0,3982.0,3764.000000000007,0.6321205588285577,3764.0,3694.6473696325256,3474.294414057071,100,9877,1
