DUAL,topk,marginal,curvature,k,n,trial
63.91780789000002,64.46000000000004,78.04226765999995,0.9161486709012502,25,769,1
116.92780789000003,118.60000000000007,142.44436165249792,0.8575431767298649,50,769,1
210.28780789000004,215.73000000000016,254.77335080504253,0.775348580871564,100,769,1
292.5817078900001,303.99000000000007,344.9583274843191,0.7159753807175113,150,769,1
365.6520806099407,386.4900000000002,421.77904736149077,0.6705095245400399,200,769,1
431.25478821502253,465.0500000000001,485.24758759076246,0.6384460215308129,250,769,1
490.9201936788827,539.5700000000005,545.3056711778287,0.6384460215308129,300,769,1
