dual,BQS,greedy,pd,GLP,queriesG,queriesPD,queriesBQS,queriesGLP,timeG,timePD,timeBQS,timeGLP,k,n,trial
63.7966252391464,63.91780789000002,60.24218063844665,60.22101626694051,64.17867458384372,37850,40014,44334,57870,1.313727,1.459378,2.7215290000000003,3.364161,25,769,1
63.7966252391464,63.91780789000002,60.24218063844665,60.22101626694051,64.17867458384372,37850,40014,44334,57870,1.294609,1.531818,2.629074,3.224482,25,769,2
63.7966252391464,63.91780789000002,60.24218063844665,60.22101626694051,64.17867458384372,37850,40014,44334,57870,1.357425,1.470824,2.735599,3.318376,25,769,3
63.7966252391464,63.91780789000002,60.24218063844665,60.22101626694051,64.17867458384372,37850,40014,44334,57870,1.332317,1.46273,2.666782,3.3726979999999998,25,769,4
63.7966252391464,63.91780789000002,60.24218063844665,60.22101626694051,64.17867458384372,37850,40014,44334,57870,1.287705,1.456789,2.672472,3.2856880000000004,25,769,5
115.55931133913505,116.92780789000003,104.47603833826409,104.17663459382302,118.5935600433007,74450,78489,87690,113720,3.098717,3.395426,4.753993,7.005067,50,769,1
115.55931133913505,116.92780789000003,104.47603833826409,104.17663459382302,118.5935600433007,74450,78489,87690,113720,2.998488,3.385345,4.63073,6.8720859999999995,50,769,2
115.55931133913505,116.92780789000003,104.47603833826409,104.17663459382302,118.5935600433007,74450,78489,87690,113720,3.026159,3.451584,4.673271,6.915077999999999,50,769,3
115.55931133913505,116.92780789000003,104.47603833826409,104.17663459382302,118.5935600433007,74450,78489,87690,113720,3.018205,3.462041,4.664384,7.013608,50,769,4
115.55931133913505,116.92780789000003,104.47603833826409,104.17663459382302,118.5935600433007,74450,78489,87690,113720,3.028282,3.511348,4.7036999999999995,6.9617830000000005,50,769,5
204.10902867476574,210.28780789000004,175.58749092528987,174.2130754068812,214.26203526510432,143900,155439,171612,221670,7.867456,8.732987,10.187334,17.091347,100,769,1
204.10902867476574,210.28780789000004,175.58749092528987,174.2130754068812,214.26203526510432,143900,155439,171612,221670,7.522524,8.680912,10.017149,16.906804,100,769,2
204.10902867476574,210.28780789000004,175.58749092528987,174.2130754068812,214.26203526510432,143900,155439,171612,221670,8.135353,8.698713,10.589013000000001,17.430848,100,769,3
204.10902867476574,210.28780789000004,175.58749092528987,174.2130754068812,214.26203526510432,143900,155439,171612,221670,7.529867,8.718194,10.043834,16.866719,100,769,4
204.10902867476574,210.28780789000004,175.58749092528987,174.2130754068812,214.26203526510432,143900,155439,171612,221670,7.751389,8.65857,10.135562,16.997546999999997,100,769,5
298.88104693729366,292.5817078900001,233.35883351179854,230.1898735658891,306.1079929560948,208350,232389,251374,324620,13.599265,15.366595,16.875477,30.120016,150,769,1
298.88104693729366,292.5817078900001,233.35883351179854,230.1898735658891,306.1079929560948,208350,232389,251374,324620,13.37697,15.686074,16.66835,30.117629,150,769,2
298.88104693729366,292.5817078900001,233.35883351179854,230.1898735658891,306.1079929560948,208350,232389,251374,324620,13.589125,15.853376,16.912202,30.136156,150,769,3
298.88104693729366,292.5817078900001,233.35883351179854,230.1898735658891,306.1079929560948,208350,232389,251374,324620,13.3422,15.802746,16.621137,29.740178,150,769,4
