dual,DUAL,greedy,pd,queriesG,queriesPD,queriesD,timeG,timePD,timeD,k,n,trial
63.81276843075949,63.91780789000002,60.24218063844665,60.22101626694051,18925,20020,22716,1.669535,1.886283,3.559501,25,769,1
115.58648631831323,116.92780789000003,104.47603833826409,104.17663459382302,37225,39270,44919,4.381402,4.620033,6.516465999999999,50,769,1
204.17618677815375,210.28780789000004,175.58749092528987,174.2130754068812,71950,77770,87932,9.851775,11.098161,12.782385999999999,100,769,1
298.8926878320158,292.5817078900001,233.35883351179854,230.1898735658891,104175,116270,128861,17.909981,22.719154,22.384687,150,769,1
373.223986147038,365.6520806099407,285.84820357479043,278.56910252022163,133900,154770,167454,28.397208,33.294822,34.063911,200,769,1
452.6328241769527,431.4170306627151,336.3589266564374,327.3548025151657,161125,193270,203507,37.222516,48.990938,45.462247,250,769,1
514.133902032627,492.26262915371274,385.9664017549529,373.4168351545243,185850,231770,236794,53.010448,68.17959,62.53986999999999,300,769,1
