f_of_S,Queries,Time,k,n,trial
861.0,394700,91.119034,20,9877,1
1412.0,788600,337.156941,40,9877,1
1856.0,1181700,720.22265,60,9877,1
2228.0,1574000,1233.720257,80,9877,1
2562.0,1965500,1870.261864,100,9877,1
