BQS,topk,marginal,curvature,dualfit_min,dualfit_tau,dualfit_lp,k,n,trial
197681996.78958115,200397367.79041258,252005928.69832507,0.632120558828556,252005928.69832522,282778367.492144,205649625.71510455,20,525,1
361127962.47600013,369387918.23716974,444935238.8064103,0.632120558828556,444935238.8064108,513787042.8227016,388565683.7519454,40,525,1
512299174.6547104,525088574.2673165,637864548.9144948,0.632120558828556,637864548.9144963,722832049.7439554,565008833.956104,60,525,1
655226328.6547104,675774025.3558974,830793859.0225846,0.632120558828556,830793859.0225819,925630986.9347734,46897372234.23497,80,525,1
791777435.6547104,821999860.3456115,1013022999.0670016,0.632120558828556,1013022999.0670023,1129885386.431986,882158914.0283219,100,525,1
924211732.6402636,963433730.0996871,1173963015.3339677,0.632120558828556,1173963015.3339658,1333537253.9760237,1026331032.9385527,120,525,1
1052477466.0844787,1101874057.099687,1334524075.3339696,0.632120558828556,1334524075.3339658,1451465337.667525,1160069902.5171707,140,525,1
1175126902.838671,1237048646.0852401,1495085135.3339725,0.632120558828556,1495085135.3339658,1593023425.9293404,1289622223.6512284,160,525,1
