dual,DUAL,greedy,pd,queriesG,queriesPD,queriesD,timeG,timePD,timeD,k,n,trial
122.63636363636364,122.0,119,119,4955,5511,5759,0.174116,0.223815,0.425132,10,500,1
175.86292834890966,177.0,165,164,7395,8016,9208,0.31104,0.340694,0.698269,15,500,1
225.2209302325582,228.0,206,197,9810,10521,13096,0.415135,0.481223,0.9878,20,500,1
271.24243876052856,277.0,241,232,12200,13026,16477,0.470944,0.592369,1.112955,25,500,1
313.5853696897741,322.0,271,254,14565,15531,19915,0.632127,0.749416,1.266083,30,500,1
368.6447161440427,362.0,299,282,16905,18036,23478,0.663306,0.852476,1.3604699999999998,35,500,1
404.7281820313084,402.0,324,308,19220,20541,27232,0.780194,1.041359,1.5995270000000001,40,500,1
