f_of_S,Queries,Time,dual,k,n,trial,dual_history
179497089.92564338,22071,0.903566,203451234.31094807,20,525,1,"[259277106.1243555, 249917359.4248628, 248001295.41042656, 224039805.3220585, 215589940.2371893, 210352083.25905952, 210196622.85749167, 210089258.86771685, 210089258.86771685, 209570172.21241054, 206918854.81130317, 206485910.6072297, 206029075.8233382, 205947321.8913928, 205309983.90651274, 204182586.97210723, 204182281.81098717, 204174757.17485067, 204114629.33620575, 203835193.84107, 203451234.31094807]"
321566679.3085613,43091,2.588555,371371249.0026967,40,525,1,"[518554212.248711, 499342100.60238385, 495297076.5719074, 443145598.14428276, 422018890.7564006, 403281393.3671452, 402494669.84121823, 401351764.25569385, 400530034.037617, 396648052.3104452, 396082164.19056386, 394765645.9883258, 394651340.46178627, 393906949.03730226, 393905365.2819494, 393905365.2819494, 393139449.2937642, 387635495.6080642, 386952032.94766927, 386935959.5017968, 384842541.09048927, 383832382.0837346, 381692379.0032083, 381063552.1435306, 381029646.5394604, 380882230.5937034, 379581964.8522098, 378018350.2407557, 377351366.0132735, 377183402.607074, 375264650.7090003, 374702113.4937849, 374156200.2385562, 373662859.22415763, 372785906.68227094, 372712855.8055787, 372108602.28927743, 371875429.69615376, 371823001.15498024, 371763121.2924458, 371371249.0026967]"
465376300.52720886,64111,5.015036,541732127.4487823,60,525,1,"[777831318.3730664, 748766841.779905, 742592857.7333882, 662251390.966507, 628447841.2756119, 596210703.4752308, 594792716.8249449, 592614269.6436709, 590936254.037617, 582287495.1118646, 580866336.8248365, 576945779.4454647, 576945779.4454647, 572192727.3148928, 572157918.8668485, 571178344.5752003, 568421975.0947833, 567101963.1456282, 566763151.3852782, 566429853.0217428, 566412006.6043249, 566412006.6043249, 566337101.0315719, 562966541.9570911, 560634485.3003871, 560600965.578979, 559056957.4969373, 558875303.7339668, 558841996.5691903, 558808610.6389496, 558808610.6389496, 557337901.4952695, 551377179.3422556, 551168932.5398154, 550907369.3694588, 548992648.6822488, 548762713.1569903, 547912493.4450465, 547813010.3714614, 546716217.6380242, 546536863.7520173, 546279904.6217757, 546026201.9454665, 545583163.9804533, 545418308.5487764, 545333625.8054827, 545272423.1903375, 544557480.670507, 544385068.085739, 543651001.3330258, 542790161.6524093, 542393626.1518571, 542236456.284361, 542215151.8208519, 542177175.08805, 542030747.330519, 541897613.0682949, 541771357.7027715, 541755175.1876047, 541744459.6447792, 541732127.4487823]"
600899693.5272088,85131,8.384313,694720283.143784,80,525,1,"[1037108424.497422, 998191582.9574261, 989888638.894869, 881357183.7887312, 834876791.7948232, 789140013.5833164, 787090763.8086715, 783876775.0316479, 781342474.037617, 767926937.9132838, 765650509.4591091, 758829659.4454647, 756352806.7533978, 756340939.2809656, 756340939.2809656, 745437345.5780411, 744264476.9406545, 739093646.5035818, 737235153.1897556, 732211541.561638, 732149700.3492707, 729527621.2142495, 728271874.8624684, 727804858.1979474, 727665929.0867786, 727665929.0867786, 725820923.7085865, 725233966.6660461, 722766050.1115891, 720391054.0043389, 718106110.2797667, 718092184.8053633, 718092184.8053633, 717652639.1499393, 714394027.6614184, 713997462.2453852, 712510410.1594999, 712333822.4498403, 710356349.8119067, 710027603.0343491, 709548305.1776174, 709066220.2647998, 708207585.057372, 708013086.0988647, 707883390.6857618, 707502639.0148263, 707331907.5841541, 707187287.2685424, 707187287.2685424, 706297280.3947608, 705338933.9785825, 704707482.8997698, 704707482.8997698, 704464835.7589073, 704361301.8238916, 704040834.2013154, 703692036.547658, 702642646.2396526, 702378300.7198557, 701887890.0954369, 701467910.842803, 701318354.7086188, 701257958.570582, 699768873.2240547, 699258351.3990426, 698901624.4410934, 698381020.909146, 698017032.1368153, 697223620.1936133, 697070750.1506143, 697038637.4351068, 696811216.1545712, 696594819.3772724, 696310043.126175, 696083769.8100828, 695698084.9267099, 695697207.9226998, 695287517.4525928, 695282764.0660481, 694737567.8529117, 694720283.143784]"
722559823.5272088,106151,12.41994,836067634.3117708,100,525,1,"[1296385530.6217775, 1247616324.134947, 1237184420.0563498, 1100462976.6109557, 1041305742.3140345, 982069323.6914022, 979388810.792398, 975139280.4196248, 971748694.037617, 953566380.7147033, 950434682.0933818, 940713539.4454648, 934760967.5646427, 934715799.2809656, 930371565.9094973, 930079785.1542405, 929730406.0865085, 929730406.0865085, 925752894.8215611, 914361556.009289, 914211908.3728707, 907398173.9243387, 899677826.8366001, 887108917.3691632, 885678677.7390435, 885192294.5196781, 884456596.6630366, 882056069.9607633, 879792270.3326131, 872390904.0090333, 870770201.665175, 870467733.7714798, 870093532.8145231, 867676859.0956758, 867599084.7433531, 867399705.9430544, 867387523.5021731, 867385105.5982485, 867385105.5982485, 866917580.355016, 866231741.0289935, 865537500.5307188, 864292796.434454, 863816540.4273248, 861389401.032033, 858702326.3353205, 855828886.8602043, 854500957.4011011, 853927385.437607, 853340315.4945201, 852924343.0549842, 852701925.0356623, 852523653.9863403, 852369637.7855275, 851743371.6453909, 851636133.8569936, 851460768.2294681, 851285573.8309784, 851218447.9538817, 850963168.2243685, 850894478.4595641, 850870792.4420946, 850870792.4420946, 850112446.5900735, 849894577.1950316, 849606047.8559875, 848868392.5771536, 847443571.0042871, 847417073.5137888, 847353735.0368549, 846894829.679627, 846680690.9212023, 846169183.5795665, 845386306.1347833, 844554787.6694334, 843601699.4369243, 843590262.1870688, 842226072.8544527, 841742325.2020781, 841601105.643333, 841500518.8500499, 841211366.3837906, 841114611.0793147, 840930037.357877, 840914174.6285477, 840678229.5044172, 840394555.6869135, 839241511.1361732, 839217735.4143515, 838944069.4554453, 838205909.3068917, 837801513.9631244, 837415999.5437181, 837342021.5280285, 837247528.7557772, 837232789.3896096, 836827026.7662867, 836818855.6754603, 836654519.8268431, 836160098.038075, 836067634.3117708]"
850489497.3208362,127171,17.049389,986067405.6735402,120,525,1,"[1555662636.7461329, 1497041065.312468, 1484480201.2178307, 1319568769.4331799, 1247734692.8332458, 1174998633.7994876, 1171686857.7761245, 1166401785.807602, 1162154914.037617, 1139205823.5161226, 1135218854.7276545, 1122597419.4454648, 1113169128.3758876, 1113090659.2809656, 1104400976.0175827, 1103604885.1542404, 1100897106.0865085, 1100293971.8321846, 1099866110.5660691, 1099866110.5660691, 1099677959.6483426, 1091090477.6804214, 1081336452.3865652, 1064473501.5732919, 1061804155.3883445, 1060788044.2813263, 1056485005.1372294, 1052313410.778462, 1047976400.4698225, 1035209967.7751476, 1034602343.3075167, 1033823845.8065414, 1028005913.5671498, 1027429834.4777886, 1026227401.3600068, 1026092485.8939804, 1024673477.9046357, 1024453686.100001, 1024157766.7993445, 1023885934.8343737, 1023449910.1296489, 1023303439.7217613, 1022600308.4473082, 1021951463.9559736, 1021168509.1769285, 1021037116.5723193, 1020940330.5976774, 1020914711.40448, 1020914711.40448, 1018492595.3079826, 1017726979.7235404, 1017000498.9063736, 1014041343.9469161, 1013736381.7254126, 1013183894.3884006, 1012556029.950146, 1010846227.3800539, 1010299679.3375438, 1009930749.1528442, 1009412806.2750232, 1008970841.2818227, 1008899215.0079801, 1008272584.5439633, 1008247266.4166663, 1008081669.9046322, 1007847399.068502, 1007715609.0014436, 1007643802.8029506, 1007492307.1643333, 1007404961.9495839, 1007381995.325885, 1007381719.3203206, 1007381719.3203206, 1007307810.3410133, 1005101867.5494964, 1003185347.2219472, 1002850926.7435981, 1002821779.0690885, 1002381786.7330606, 999997352.8127122, 999624146.8539329, 999578137.7669454, 999039116.8575938, 997873794.2150301, 997560915.9756975, 996839420.8343898, 996743427.1833026, 995961851.0765573, 995808581.4813465, 995576168.8627801, 995139527.2554737, 994675717.6606598, 994657179.1712701, 994273094.1569364, 993079857.8798704, 992201287.1426679, 992067656.1248658, 991962080.8014249, 991805293.2326028, 991673390.6493961, 991516992.5249233, 990343922.0532813, 990206394.4781289, 989977798.1105361, 989753624.4221507, 989745695.6335304, 989510016.134982, 989433592.555862, 989072732.3626789, 988822521.5228921, 988705553.3745898, 988436663.3728693, 988436663.3728693, 987836557.9698414, 987794476.1727213, 987775030.1911228, 987533298.635714, 986949936.0065216, 986570809.7454524, 986512997.9749618, 986067405.6735402]"
962889044.011006,148191,22.269507,1114729970.2108,140,525,1,"[1814939742.8704884, 1746465806.4899893, 1731775982.3793113, 1538674562.2554042, 1454163643.352457, 1367927943.9075732, 1363984904.759851, 1357664291.1955788, 1352561134.037617, 1324845266.317542, 1320003027.361927, 1304481299.4454648, 1291577289.1871324, 1291465519.2809656, 1278430386.1256683, 1277129985.1542404, 1272063806.0865085, 1270556831.8321846, 1267510681.7196214, 1267490629.2965057, 1267490629.2965057, 1257298232.0113955, 1245704101.9294834, 1225225494.2722423, 1221947442.5897253, 1220734690.0970125, 1215590784.9823568, 1210595976.7734656, 1205223740.3293595, 1190058843.254423, 1189327753.1350849, 1188389447.9142933, 1181364856.9154246, 1180675302.4893527, 1178899269.4114175, 1178694905.1893451, 1176482661.838864, 1176128310.6742675, 1175632129.122705, 1175154591.4695165, 1174344235.0388253, 1174052358.569322, 1172521530.0556688, 1170932028.9637134, 1168496772.6283867, 1168179576.6705728, 1167644425.8203273, 1167134911.979417, 1166618795.23102, 1166485584.3389513, 1166388377.5586567, 1166084505.2885633, 1166053003.0498333, 1166046610.5974026, 1166046610.5974026, 1164221479.4508874, 1158989171.9737659, 1157220554.2212143, 1155952075.8013945, 1154049534.4590695, 1151995665.6535804, 1151675813.8269525, 1149075955.7677543, 1148945687.7377336, 1147990617.512395, 1147118922.7841218, 1146747257.5997286, 1146515294.190526, 1145927622.11307, 1145485408.1734724, 1144842899.8544703, 1144817560.880993, 1143837535.830472, 1142901688.2876515, 1142444783.2756894, 1142375752.344911, 1142370700.995588, 1142309531.99085, 1142023631.218693, 1142020535.4376762, 1142005337.3996532, 1142005337.3996532, 1139984750.5498972, 1139905685.9783978, 1138877618.6145697, 1138740018.1157422, 1137612748.5426269, 1137390271.0895123, 1137050674.9083772, 1135718131.9731324, 1135690343.0076723, 1135110183.309173, 1135046330.9575117, 1131965834.076036, 1131346689.5235586, 1131136703.089823, 1130885299.011576, 1130741985.0632136, 1128995898.8269048, 1128772224.2800045, 1128621754.883873, 1128398203.2020893, 1128028486.968387, 1128015338.6867845, 1127622076.8177752, 1127492969.492079, 1126875383.4634526, 1126238066.019956, 1125757141.3157568, 1125757141.3157568, 1125341928.4060628, 1125214293.2047186, 1124586143.7554975, 1124549725.8014743, 1124088412.5005522, 1122952610.1535897, 1122702551.3569138, 1122088345.8221352, 1121631036.1257596, 1121382263.9517255, 1121178398.050141, 1120965464.9865754, 1120782924.5358078, 1120108607.110158, 1119937864.4505439, 1119626648.2294858, 1119489017.100607, 1118985174.591769, 1118541818.6452303, 1118461923.699212, 1118010363.2126493, 1117928587.6858613, 1117655259.732759, 1117146113.204577, 1116589663.3046193, 1116324288.7355947, 1116323068.9103932, 1116309082.2933633, 1115486473.2032287, 1115462278.499363, 1114729970.2108]"
1062692449.0710244,169211,28.563283,1258153132.864658,160,525,1,"[2074216848.994844, 1995890547.6675103, 1979071763.5407922, 1757780355.0776284, 1660592593.8716683, 1560857254.0156589, 1556282951.7435777, 1548926796.583556, 1542967354.037617, 1510484709.1189613, 1504787199.9961996, 1486365179.4454648, 1469985449.9983773, 1469840379.2809656, 1452459796.233754, 1450655085.1542404, 1443230506.0865085, 1440819691.8321846, 1435155252.8731735, 1435100404.1826653, 1433516926.5520334, 1432908400.5799427, 1432908400.5799427, 1407918175.7337034, 1403860715.2638633, 1402424589.8240855, 1396325510.8569503, 1390395580.5570636, 1365842083.195669, 1364965036.6214914, 1364532357.3131235, 1364415374.9767332, 1358771075.77834, 1358061220.062944, 1355435708.328632, 1355128493.2696145, 1351741499.9965749, 1351187871.7883174, 1350395109.8329182, 1349612930.262409, 1348248203.480073, 1347740986.4345043, 1344984371.3317873, 1342001795.3431828, 1336517853.4953198, 1335271518.6246226, 1333976955.2503495, 1332513397.5032246, 1332077066.734483, 1331688695.4772725, 1330051616.9661553, 1329758692.1578064, 1329252127.4768493, 1328707391.8271048, 1327319902.7473836, 1326912264.5117679, 1326665153.549473, 1326364191.942233, 1326116721.428319, 1325876177.0587378, 1325870722.988825, 1325870408.2016907, 1325870408.2016907, 1323854969.4394445, 1322525301.4104557, 1321645954.6008043, 1319461098.0082967, 1319275537.685918, 1317379757.6542268, 1316540941.0961144, 1316507767.3182924, 1315899436.7780287, 1312510438.9468627, 1309129366.8787792, 1308535073.1977494, 1308482885.9772227, 1307689022.7697334, 1302664289.2049863, 1302578702.6769114, 1301567325.4759998, 1298763106.2503498, 1297370718.1626267, 1297183673.4031184, 1295645592.6584034, 1295340870.7779121, 1294873901.044197, 1293034149.8930228, 1292995624.459529, 1292187892.7352467, 1289030858.0674524, 1288667738.4196765, 1288562867.4710994, 1287925142.570661, 1287823162.8480053, 1287747312.062424, 1287679113.010154, 1287679113.010154, 1287417890.2240155, 1287386324.2732797, 1287116911.2302032, 1287028767.2075078, 1287028767.2075078, 1287005335.2512817, 1286930313.956779, 1286928862.7455804, 1286928862.7455804, 1286182257.4243834, 1285918773.6706977, 1284339446.514198, 1282862129.3672051, 1282207463.359668, 1282026862.1947849, 1281020656.8718157, 1280703616.762889, 1279519927.2197638, 1279216873.1068137, 1278658089.986549, 1278407991.1247935, 1278400584.8345482, 1276676941.8247676, 1275673563.0319781, 1275516606.1589618, 1274984069.5307472, 1273976361.4700727, 1273260194.6289396, 1272862483.5927956, 1272393116.573427, 1272327714.269833, 1272325232.9335911, 1272249573.7540956, 1272210155.1573946, 1270534996.7515562, 1269451671.8006823, 1268668485.374694, 1267185325.3258233, 1267141135.9750586, 1266939703.5695388, 1266909813.0394034, 1266669680.8689396, 1266119320.705114, 1265746972.645659, 1264654531.9706645, 1263649787.607855, 1263122152.8569653, 1262835191.1508923, 1262484394.6927125, 1261826226.5926318, 1261806763.3182733, 1261756408.2747583, 1261411793.7474887, 1261236007.9841805, 1261053461.1319509, 1260675206.3874784, 1260365109.9017954, 1260175575.2634478, 1259650020.410673, 1259617252.4988575, 1259532943.8734818, 1258968928.5790524, 1258183267.7104487, 1258153132.864658]"
