f_of_S,Queries,Time,k,n,trial
21383.0,19620,0.494102,20,500,1
37127.0,38440,1.042873,40,500,1
50860.0,56460,1.614115,60,500,1
63248.0,73680,2.284994,80,500,1
74502.0,90100,3.06495,100,500,1
84834.0,105720,3.869642,120,500,1
90318.0,120540,4.402962,140,500,1
93021.0,134560,5.525464,160,500,1
94913.0,147780,6.092242,180,500,1
96389.0,160200,6.524329,200,500,1
