f_of_S,Queries,Time,k,n,trial
200,9910,0.220527,10,500,1
242,14790,0.371097,15,500,1
273,19620,0.555536,20,500,1
300,24400,0.714267,25,500,1
320,29130,0.880469,30,500,1
337,33810,1.056852,35,500,1
352,38440,1.235943,40,500,1
