BQS,topk,marginal,curvature,dualfit_min,dualfit_tau,dualfit_lp,k,n,trial
43.0,43,50.000000000000014,0.6321205588285577,50,64.02953313475905,43.00000001889312,10,500,1
63.0,63,75.00000000000001,0.6321205588285577,75,95.81379990558958,63.00000042464738,15,500,1
83.0,83,94.99999999999991,0.6321205588285577,95,127.522239341855,83.00000056446058,20,500,1
103.0,103,114.99999999999993,0.6321205588285577,115,159.20209374889188,103.00000020361459,25,500,1
123.0,123,135.00000000000003,0.6321205588285577,135,190.86809980945327,123.00000000245896,30,500,1
143.0,143,154.99999999999994,0.6321205588285577,155,210.11060285325016,143.00000033947822,35,500,1
160.0,163,174.99999999999986,0.6321205588285577,175,227.48428823822636,163.00000066567122,40,500,1
