dual,DUAL,greedy,pd,queriesG,queriesPD,queriesD,timeG,timePD,timeD,k,n,trial
46.0,46.0,46,46,5105,5676,5915,0.189885,0.235162,0.445584,10,515,1
65.5625,66.0,64,62,7620,8256,9451,0.30502,0.389536,0.733666,15,515,1
84.18181818181819,81.0,79,76,10110,10836,13338,0.458011,0.57415,1.224025,20,515,1
100.06666666666666,96.0,94,93,12575,13416,16672,0.599797,0.815648,1.362127,25,515,1
115.06666666666666,111.0,109,108,15015,15996,20015,0.741917,0.917755,1.610023,30,515,1
130.06666666666666,126.0,124,123,17430,18576,23431,1.032732,1.194201,2.002298,35,515,1
147.375,141.0,135,135,19820,21156,26872,1.247619,1.467231,2.265292,40,515,1
