f_of_S,Queries,Time,k,n,trial
60.24218063844665,37850,2.03952,25,769,1
104.47603833826409,74450,4.140219,50,769,1
175.58749092528987,143900,10.102094,100,769,1
233.35883351179854,208350,17.952977,150,769,1
285.84820357479043,267800,31.401624,200,769,1
336.3589266564374,322250,60.335076,250,769,1
385.9664017549529,371700,61.401503,300,769,1
