f_of_S,Queries,Time,dual,k,n,trial,dual_history
119,5511,0.248679,122.63636363636364,10,500,1,"[150.0, 141.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 122.63636363636364, 122.63636363636364, 122.63636363636364]"
164,8016,0.327795,175.77125193199382,15,500,1,"[225.0, 211.0, 185.0, 185.0, 185.0, 185.0, 185.0, 185.0, 177.18181818181822, 177.18181818181822, 177.18181818181822, 177.18181818181822, 176.66666666666666, 175.925, 175.86292834890966, 175.77125193199382]"
197,10521,0.522646,225.01731601731603,20,500,1,"[300.0, 281.0, 245.0, 245.0, 245.0, 245.0, 245.0, 245.0, 231.72727272727275, 231.72727272727275, 231.72727272727275, 231.72727272727275, 230.51282051282053, 228.425, 228.1993769470405, 227.70324574961361, 227.44615384615383, 227.3421052631579, 225.37616822429908, 225.2209302325582, 225.01731601731603]"
232,13026,0.669252,270.1567937967722,25,500,1,"[375.0, 351.0, 305.0, 305.0, 305.0, 305.0, 305.0, 305.0, 286.2727272727273, 286.2727272727273, 286.2727272727273, 286.2727272727273, 284.35897435897436, 280.925, 280.53582554517135, 279.6352395672334, 279.1384615384615, 278.92105263157896, 274.4415887850468, 274.05813953488376, 273.5021645021645, 271.8458319922755, 271.8321914594087, 271.55574229691877, 271.24243876052856, 270.1567937967722]"
254,15531,0.867627,312.8710933712884,30,500,1,"[450.0, 421.0, 365.0, 365.0, 365.0, 365.0, 365.0, 365.0, 340.81818181818187, 340.81818181818187, 340.81818181818187, 340.81818181818187, 338.20512820512823, 333.425, 332.8722741433022, 331.5672333848531, 330.8307692307692, 330.5, 323.5070093457945, 322.89534883720944, 321.987012987013, 319.15835210814294, 319.13392773345845, 318.6145658263305, 317.97762151302067, 315.59904427012896, 315.3236298292902, 313.8232783278327, 313.70708135652785, 313.5853696897741, 312.8710933712884]"
282,18036,1.070283,367.98025996015417,35,500,1,"[525.0, 491.0, 425.0, 425.0, 425.0, 425.0, 425.0, 425.0, 395.36363636363643, 395.36363636363643, 395.36363636363643, 395.36363636363643, 392.0512820512821, 385.925, 385.20872274143306, 383.4992272024729, 382.52307692307687, 382.0789473684211, 372.245283018868, 372.13261648745527, 371.6449339207049, 371.6068601583114, 371.5829675153645, 370.2047413793104, 370.1881188118813, 370.09868421052636, 370.0154047853162, 369.09042719052076, 369.03555348548366, 368.83662654250895, 368.83444708725045, 368.83444708725045, 368.83444708725045, 368.65147190429093, 368.6447161440427, 367.98025996015417]"
308,20541,1.207615,404.59775169256653,40,500,1,"[600.0, 561.0, 485.0, 485.0, 485.0, 485.0, 485.0, 485.0, 449.90909090909093, 449.90909090909093, 449.90909090909093, 449.90909090909093, 445.89743589743597, 438.425, 437.54517133956386, 435.4312210200927, 434.21538461538455, 433.65789473684214, 420.56603773584914, 419.28315412186384, 418.3409691629956, 418.25593667546184, 418.18525021949097, 411.9719827586207, 410.1881188118813, 408.8269116775341, 408.79998033238275, 408.79998033238275, 408.69653491617373, 408.6752069566925, 408.3396073818102, 407.9106902011376, 407.9106902011376, 407.2812522580107, 406.79208674956965, 406.79208674956965, 406.0036025989434, 405.98305814656504, 404.91818159805337, 404.7281820313084, 404.59775169256653]"
