f_of_S,Queries,Time,k,n,trial
43,9910,0.204145,10,500,1
63,14790,0.361799,15,500,1
83,19620,0.529159,20,500,1
103,24400,0.740985,25,500,1
123,29130,0.836713,30,500,1
141,33810,1.01371,35,500,1
156,38440,1.233574,40,500,1
