f_of_S,Queries,Time,dual,k,n,trial,dual_history
199,11011,0.220343,203.88430867378236,10,500,1,"[590.0, 301.21052631578954, 263.36250861474844, 247.7601043024772, 220.5242914979757, 218.1690843155032, 215.719028340081, 205.4935222672065, 204.5954367666232, 203.96718652526516, 203.88430867378236]"
240,16016,0.357958,247.53935741252593,15,500,1,"[885.0, 435.7719298245614, 374.3687112336319, 347.7601043024772, 298.15587044534414, 293.5015110305228, 288.17516869095823, 262.42334682860997, 259.5954367666232, 256.59975046787275, 255.63869463869463, 254.0577219390779, 250.55194974517013, 248.4935512334556, 247.56877824711273, 247.53935741252593]"
273,21021,0.509799,281.683750111593,20,500,1,"[1180.0, 570.3333333333334, 485.3749138525155, 447.7601043024772, 375.7874493927125, 368.83393774554247, 360.6313090418354, 319.3531713900135, 314.5954367666232, 309.2323144104804, 307.3930806036069, 304.0577219390779, 295.55194974517013, 289.3862374945629, 285.8522729454253, 285.67403914153897, 284.1692176074746, 283.82120818902195, 283.6381859182033, 281.683750111593, 281.683750111593]"
300,26026,0.672022,307.408550572052,25,500,1,"[1475.0, 704.8947368421053, 596.3811164713991, 547.7601043024772, 453.4190283400809, 444.1663644605621, 433.08744939271264, 376.282995951417, 369.5954367666232, 361.864878353088, 359.1474665685192, 354.0577219390779, 340.55194974517013, 330.27892375567023, 324.13576764373784, 323.80872087055207, 320.82006440395094, 320.0492783644606, 319.5757130331708, 313.39980800270257, 313.39980800270257, 312.6802438676933, 310.2198370889671, 309.54699405988254, 308.29658658015893, 307.408550572052]"
318,31031,0.82597,336.226368869226,30,500,1,"[1770.0, 839.0, 715.0, 686.0, 546.0, 531.0, 531.0, 453.2142857142857, 453.2142857142857, 429.2857142857143, 429.2857142857143, 427.09285714285704, 408.17532467532465, 392.8663101604278, 379.98525798525793, 374.045742637644, 374.045742637644, 369.9625541125541, 366.07103432281997, 355.06314162028445, 355.06314162028445, 355.06314162028445, 350.39226551226557, 348.06948606948606, 344.2788084930942, 336.73501149056705, 336.73501149056705, 336.70367297132395, 336.70367297132395, 336.688445826474, 336.226368869226]"
337,36036,1.023221,355.8568692931718,35,500,1,"[2065.0, 969.0, 820.0, 786.0, 621.0, 601.0, 601.0, 508.2142857142857, 508.2142857142857, 479.2857142857143, 479.2857142857143, 476.59285714285704, 453.17532467532465, 434.04278074866306, 417.8230958230958, 410.2781370038412, 410.2781370038412, 404.9625541125541, 399.82103432281997, 385.06314162028445, 385.06314162028445, 385.06314162028445, 378.39226551226557, 374.992562992563, 369.2788084930942, 357.4757522313078, 357.4757522313078, 357.4217937766931, 357.4217937766931, 357.3926711785867, 356.4186765615337, 356.08135583237623, 356.08135583237623, 356.08135583237623, 356.08135583237623, 355.8568692931718]"
351,41041,1.234989,384.6951690490951,40,500,1,"[2360.0, 1099.0, 925.0, 886.0, 696.0, 671.0, 671.0, 563.2142857142858, 563.2142857142858, 529.2857142857142, 529.2857142857142, 526.092857142857, 498.17532467532465, 471.6923678041157, 471.6923678041157, 471.6923678041157, 467.2059585019874, 462.1984547323821, 450.00678989060737, 438.01677424060097, 438.01677424060097, 438.01677424060097, 421.11318710547994, 418.2306735698696, 413.0404526613913, 394.1982780450747, 394.1982780450747, 392.49370161355415, 392.49370161355415, 392.41337649933644, 390.9209301194861, 390.9209301194861, 390.9209301194861, 390.9209301194861, 390.52415008479545, 389.7529753407188, 386.12585215209424, 385.7674291652993, 385.44619584093084, 384.6951690490951, 384.6951690490951]"
