BQS,topk,marginal,curvature,dualfit_min,dualfit_tau,dualfit_lp,k,n,trial
46.0,46,60.000000000000014,0.6321205588285577,60,66.56387469909087,46.00000000021331,10,515,1
66.0,66,82.0,0.6321205588285577,82,86.41980939696384,66.00000014306355,15,515,1
81.0,85,101.99999999999994,0.6321205588285577,102,111.34347179640659,84.9166666878534,20,515,1
96.0,100,121.99999999999996,0.6321205588285577,122,133.40701499423304,103.46666719851652,25,515,1
111.0,115,142.00000000000006,0.6321205588285577,142,157.68151088031854,120.9166677139526,30,515,1
126.0,130,162.0,0.6321205588285577,162,181.7817829023926,135.91666666691717,35,515,1
141.0,145,177.99999999999994,0.6321205588285577,178,199.49810630131327,150.91666666794183,40,515,1
