BQS,topk,marginal,curvature,dualfit_min,dualfit_tau,dualfit_lp,k,n,trial
206.0,216,276.0,0.6321205588285577,276,237.75389191903213,204.35547771015575,10,500,1
252.0,264,332.9999999999999,0.6321205588285577,333,282.8596831002013,249.0491183433486,15,500,1
288.0,307,367.9999999999998,0.6321205588285577,368,328.58942853747897,284.5258307516642,20,500,1
315.0,344,398.99999999999983,0.6321205588285577,399,345.49357761428206,309.5448195462999,25,500,1
340.0,371,420.0000000000001,0.6321205588285577,420,361.9036482657226,329.89127336320234,30,500,1
360.0,396,432.99999999999966,0.6321205588285577,433,388.36756056161073,349.90070576536647,35,500,1
380.0,421,447.99999999999915,0.6321205588285577,448,415.8878479498143,369.7978841943713,40,500,1
