dual,DUAL,greedy,pd,queriesG,queriesPD,queriesD,timeG,timePD,timeD,k,n,trial
203835193.84107,197681996.78958115,194087869.33396578,179497089.92564338,10310,11046,13396,0.997041,1.257273,2.619292,20,525,1
371763121.29244584,361127962.47600013,349836428.2124299,321566679.3085613,20220,21566,26606,2.947664,3.226316,5.034292000000001,40,525,1
541744459.6447792,512299174.6547104,494286953.05637425,465376300.52720886,29730,32086,39632,5.489555,5.875217,7.888912,60,525,1
694737567.8529118,655226328.6547104,631464469.0563743,600899693.5272088,38840,42606,52268,7.838417,8.934713,10.852374,80,525,1
836160098.038075,791777435.6547104,763606337.5272088,722559823.5272088,47550,53126,64456,12.372379,13.616211,16.150915,100,525,1
986512997.9749618,924211732.6402636,891031609.9714241,850489497.3208362,55860,63646,76398,14.75397,17.565612,19.209153,120,525,1
1115462278.499363,1052477466.0844787,1012017812.9501921,962889044.011006,63770,74166,88100,20.034907,24.766287,25.940666,140,525,1
1258183267.7104487,1175126902.838671,1126553267.7960825,1062692449.0710244,71280,84686,99490,24.007317,29.331539,32.457293,160,525,1
