dual,DUAL,greedy,pd,queriesG,queriesPD,queriesD,timeG,timePD,timeD,k,n,trial
43.0,43.0,43,43,4955,5511,5725,0.204017,0.241016,0.45903,10,500,1
63.0,63.0,63,63,7395,8016,9090,0.328832,0.472227,0.788875,15,500,1
83.0,83.0,83,83,9810,10521,12816,0.444837,0.539351,1.106192,20,500,1
103.0,103.0,103,103,12200,13026,16045,0.665369,0.698499,1.426755,25,500,1
123.0,123.0,123,123,14565,15531,19287,0.732066,0.823557,1.5163959999999999,30,500,1
143.0,143.0,141,141,16905,18036,22570,0.928509,0.993172,1.737609,35,500,1
163.0,160.0,156,151,19220,20541,25910,1.183025,1.295158,2.050472,40,500,1
