f_of_S,Queries,Time,k,n,trial
46,10210,0.207748,10,515,1
64,15240,0.326716,15,515,1
79,20220,0.467466,20,515,1
94,25150,0.628399,25,515,1
109,30030,0.811201,30,515,1
124,34860,0.951961,35,515,1
135,39640,1.111455,40,515,1
