dual,DUAL,greedy,pd,queriesG,queriesPD,queriesD,timeG,timePD,timeD,k,n,trial
203.96718652526516,206.0,200,199,4955,5511,5761,0.201071,0.321523,0.485506,10,500,1
247.56877824711273,252.0,242,240,7395,8016,9134,0.362638,0.427583,0.8183819999999999,15,500,1
281.683750111593,288.0,273,273,9810,10521,12874,0.511615,0.638684,1.245748,20,500,1
308.29658658015893,315.0,300,300,12200,13026,16073,0.63573,0.783531,1.407254,25,500,1
336.68844582647404,340.0,320,318,14565,15531,19271,0.74338,0.967372,1.484707,30,500,1
356.0813558323763,360.0,337,337,16905,18036,22454,0.909748,1.135344,1.7175859999999998,35,500,1
384.695169049095,380.0,352,351,19220,20541,25652,1.093755,1.387436,2.01162,40,500,1
