BQS,topk,marginal,curvature,dualfit_min,dualfit_tau,dualfit_lp,k,n,trial
122.0,123,149.00000000000003,0.6321205588285577,149,177.34819668910518,125.00000000205374,10,500,1
177.0,178,209.00000000000006,0.6321205588285577,209,245.1913099383109,185.00000004395608,15,500,1
228.0,233,268.99999999999983,0.6321205588285577,269,303.54064505968597,245.00000000408593,20,500,1
277.0,283,328.9999999999997,0.6321205588285577,329,350.60115039124804,293.80000041389997,25,500,1
322.0,333,389.00000000000006,0.6321205588285577,389,392.0549798586719,344.00000000722514,30,500,1
362.0,383,443.9999999999998,0.6321205588285577,444,434.71878613303124,393.9166667004851,35,500,1
402.0,428,474.9999999999996,0.6321205588285577,475,472.01737946278405,438.66666666750734,40,500,1
