f_of_S,Queries,Time,k,n,trial,dualfit
194087869.33396578,10310,1.881368,20,525,1,252005928.69832522
349836428.2124299,20220,5.460793,40,525,1,444935238.8064108
494286953.05637425,29730,9.987621,60,525,1,637864548.9144963
631464469.0563743,38840,15.976252,80,525,1,830793859.0225819
763606337.5272088,47550,22.184154,100,525,1,1013022999.0670023
891031609.9714241,55860,28.957342,120,525,1,1173963015.3339658
1012017812.9501921,63770,37.116476,140,525,1,1334524075.3339658
1126553267.7960825,71280,45.073756,160,525,1,1495085135.3339658
